Año/Mes,Canal distribución,Mat:Concepto Diseño,Mat:Mes Venta,Mat:Mundo,Mat:SubLinea,Mat:Tipo Articulo,Mat:Tipo de Negocio,Talla,Material,Und. Pronóstico,Und. Vendidas,% Rotación
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,12,4208147,100 ,2 ,2.00 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,18,4208147,147 ,10 ,6.80 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,24,4208147,196 ,13 ,6.63 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,2T,4208147,266 ,20 ,7.52 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,3T,4208147,317 ,32 ,10.09 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,4T,4208147,188 ,34 ,18.09 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-FEMENINO,MODA,OVERALL LARGO,NO LINEA,5T,4208147,198 ,24 ,12.12 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,BOTAS,NO LINEA,2324,4110387,604 ,27 ,4.47 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,BOTAS,NO LINEA,2526,4110387,504 ,39 ,7.74 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,BOTAS,NO LINEA,2728,4110387,433 ,36 ,8.31 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,BOTAS,NO LINEA,2930,4110387,433 ,18 ,4.16 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,BOTAS,NO LINEA,3132,4110387,419 ,18 ,4.30 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,12,4108122,19 ,1 ,5.26 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,18,4108122,29 ,6 ,20.69 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,24,4108122,52 ,9 ,17.31 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,2T,4108122,93 ,18 ,19.35 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,3T,4108122,98 ,17 ,17.35 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,4T,4108122,82 ,13 ,15.85 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,OVERALL LARGO,NO LINEA,5T,4108122,63 ,20 ,31.75 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,19,4110375,100 ,8 ,8.00 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,20,4110375,104 ,17 ,16.35 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,21,4110375,104 ,27 ,25.96 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,22,4110375,202 ,36 ,17.82 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,23,4110375,202 ,43 ,21.29 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,24,4110375,154 ,49 ,31.82 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,25,4110375,104 ,40 ,38.46 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,26,4110375,100 ,55 ,55.00 
01.2018,Tiendas Propias,ESCOLAR,ENERO,BEBES-MASCULINO,MODA,TENIS,NO LINEA,27,4110375,98 ,47 ,47.96 
01.2018,Tiendas Propias,ESCOLAR,ENERO,NIÑOS-FEMENINO,INTERIOR,CAÑA LARGA,NO LINEA,4/6,5219211,180 ,25 ,13.89 
01.2018,Tiendas Propias,ESCOLAR,ENERO,NIÑOS-FEMENINO,INTERIOR,CAÑA LARGA,NO LINEA,6/8,5219211,230 ,25 ,10.87 
01.2018,Tiendas Propias,ESCOLAR,ENERO,NIÑOS-FEMENINO,INTERIOR,CAÑA LARGA,NO LINEA,8/10,5219211,274 ,23 ,8.39 
01.2018,Tiendas Propias,ESCOLAR,ENERO,NIÑOS-FEMENINO,INTERIOR,CAÑA LARGA,NO LINEA,9/11,5219211,258 ,12 ,4.65 
01.2018,Tiendas Propias,ESCOLAR,ENERO,NIÑOS-FEMENINO,MODA,DENIM,NO LINEA,10,5226748,102 ,18 ,17.65 
